city,latitude,longitude,nearest_distance
Krumstedt,54.06868,9.17909,15.923156655142042
Kuden,53.96697,9.19433,8.111858960079207
Lehe,54.34082,9.02438,15.60012691482359
Lieth,54.15555,9.06099,5.006755175387116
Linden,54.25149,9.18536,8.927325346634733
Lohe-Rickelshof,54.18793,9.06738,1.4637620815511474
Lunden,54.32974,9.02607,14.885011085804374
Marne,53.95131,9.01091,10.500418446808045
Marnerdeich,53.94876,8.9905,11.508180629253287
Meldorf,54.08943,9.07069,12.239488371589877
Neuenkirchen,54.23624,8.99065,7.022410542045658
Neufeld,53.91015,9.0259,7.914505339893563
Neufelderkoog,53.90863,8.97514,11.199725702022217
Nindorf,54.07959,9.14404,13.983114587291524
Nindorf,54.08628,9.10732,12.719805202707981
Norddeich,54.218,8.90006,11.779781676214942
Norderheistedt,54.24547,9.14618,6.646748963222228
Norderwöhrden,54.1924,9.00088,5.102063045314157
Nordhastedt,54.17158,9.18154,7.284088492751923
Odderade,54.13855,9.19246,9.970334718633325
Odderade,54.15082,9.22975,11.134762266402431
Oesterdeichstrich,54.15874,8.8995,12.489253081127595
Offenbüttel,54.16957,9.35612,18.248983939419137
Osterrade,54.19203,9.39381,20.40361482393923
Osterrade,54.18224,9.33013,16.36083246111385
Osterrade,54.1874,9.35305,17.78794711246974
Osterrade,54.19233,9.42317,19.27286949933454
Osterrade,54.20116,9.37575,19.209559951953278
Ostrohe,54.21461,9.12837,3.5315366667297226
Pahlen,54.2667,9.29642,15.892521675631695
Quickborn,54.01075,9.20949,13.015195190971921
Ramhusen,53.94028,9.08546,5.964160750811752
Ramhusen,53.94285,9.08311,6.280865471579644
Rehm-Flehde-Bargen,54.29849,9.0384,11.319411001262205
Reinsbüttel,54.17909,8.91018,11.17484193646346
Sankt Annen,54.35022,9.08631,14.553532545836406
Sankt Annen,54.34803,9.07738,14.729307743685261
Sankt Michaelisdonn,53.9882,9.11512,10.014107628948024
Sarzbüttel,54.11622,9.1836,11.45782336740775
