hospital_id,treatment_code,treatment_count
771031,KAPK0,0
771031,KAEH0,0
771031,KARH0,0
771031,KARK0,0
771031,KAEK0,0
771031,KASA0,0
771031,KAMUS0,0
771031,KAPAR0,6
771031,KAEN0,0
771031,KABAA0,0
771031,KASCHK0,0
771031,KAOH0,0
771039,KAHKO0,0
771039,KAHM0,0
771039,KAKIA,0
771039,KAKIB,28
771039,KALE0,363
771039,KABK0,332
771039,KALK0,0
771039,KADK0,0
771039,KAOM0,0
771039,KAPRK0,0
771039,KAPK0,0
771039,KAEH0,0
771039,KARH0,0
771039,KARK0,0
771039,KAEK0,0
771039,KASA0,0
771039,KAMUS0,0
771039,KAPAR0,7
771039,KAEN0,1631
771039,KABAA0,0
771039,KASCHK0,0
771039,KAOH0,0
771040,KAHKO0,0
771040,KAHM0,0
771040,KAKIA,0
771040,KAKIB,0
771040,KALE0,201
771040,KABK0,0
771040,KALK0,0
771040,KADK0,47
771040,KAOM0,0
771040,KAPRK0,0
771040,KAPK0,0
771040,KAEH0,192
771040,KARH0,7
771040,KARK0,21
771040,KAEK0,304
771040,KASA0,0
771040,KAMUS0,0
771040,KAPAR0,0
771040,KAEN0,238
771040,KABAA0,0
771040,KASCHK0,0
771040,KAOH0,0
771041,KAHKO0,0
771041,KAHM0,0
771041,KAKIA,0
771041,KAKIB,0
771041,KALE0,139
771041,KABK0,0
771041,KALK0,0
771041,KADK0,0
771041,KAOM0,0
771041,KAPRK0,0
771041,KAPK0,0
771041,KAEH0,93
771041,KARH0,7
771041,KARK0,6
771041,KAEK0,86
771041,KASA0,0
771041,KAMUS0,0
771041,KAPAR0,11
771041,KAEN0,0
771041,KABAA0,0
771041,KASCHK0,0
771041,KAOH0,0
771042,KAHKO0,0
771042,KAHM0,0
771042,KAKIA,0
771042,KAKIB,440
771042,KALE0,546
771042,KABK0,144
771042,KALK0,23
771042,KADK0,81
771042,KAOM0,5
771042,KAPRK0,0
771042,KAPK0,8
771042,KAEH0,124
771042,KARH0,21
771042,KARK0,31
771042,KAEK0,86
771042,KASA0,1025
771042,KAMUS0,33
771042,KAPAR0,57
771042,KAEN0,1022
771042,KABAA0,10
771042,KASCHK0,218
771042,KAOH0,21
771043,KAHKO0,0
771043,KAHM0,0
771043,KAKIA,0
771043,KAKIB,0
771043,KALE0,247
771043,KABK0,219
771043,KALK0,0
771043,KADK0,94
771043,KAOM0,8
771043,KAPRK0,0
