hospital_id,treatment_count,department_id
771085,1530,0510
771085,1427,0500
771085,1037,0100
771085,776,1500
771085,710,1200
771085,555,0152
771085,405,3650
771085,285,3600
771085,275,1300
771085,144,3752
771085,127,0100
771085,123,1700
771085,0,3750
771087,4019,0100
771087,2881,2300
771087,1356,1500
771087,585,0200
771088,905,1500
771088,672,3753
771090,6538,0100
771090,3780,0103
771090,2958,2400
771090,2044,1600
771090,1870,2800
771090,1536,2200
771090,1373,1500
771090,1041,1700
771090,902,1900
771090,614,1800
771090,232,2600
771090,193,2000
771091,258,0100
771093,2894,1500
771093,2368,0100
771093,1258,2400
771093,540,0200
771094,1198,0100
771095,7105,0100
771095,2174,2800
771095,1812,2400
771095,1793,2200
771095,1356,1500
771095,1226,1000
771095,1157,1600
771095,1067,1700
771095,806,2300
771095,544,3600
771095,241,3752
771095,13,3300
771096,3148,2400
771096,3008,0700
771096,2849,0300
771096,2493,1600
771096,1570,1500
771096,1516,2800
771096,1422,2200
771096,969,1800
771096,847,0104
771096,661,3600
771096,550,1700
771096,443,0102
771096,303,0100
771096,293,3752
771096,259,3753
771096,136,2600
771098,3642,1500
771098,2647,0100
771098,67,1800
771098,8,2400
771099,1188,1523
771100,3497,1000
771100,2877,0100
771100,2774,2400
771100,2544,2300
771100,2263,0300
771100,2090,2200
771100,1713,2800
771100,1584,1700
771100,1177,3600
771100,1123,1500
771100,1116,2700
771100,923,1800
771100,784,3500
771100,640,0800
771100,113,0500
771100,69,2000
771100,37,0105
771101,4050,2500
771101,3165,0300
771101,2629,0100
771101,2472,2800
771101,2364,1600
771101,1649,2600
771101,1418,1500
771101,1415,3400
771101,1366,0105
771101,1364,1000
771101,1318,2425
771101,1001,0200
771101,674,1700
771101,597,3460
771101,471,3600
771101,352,3300
771101,257,0400
771101,202,1012
771102,3414,2800
771102,2783,1500
771102,1909,0100
771102,1905,1600
771102,1091,2425
771102,807,0107
771102,774,0105
771102,744,0104
771102,205,2600
771102,71,3752
771103,2867,0100
771103,2536,1500
771103,330,3752
771103,211,2300
771104,1656,0100
771104,954,1500
771104,723,2300
771104,266,0102
771104,23,2600
771105,1996,0102
771105,1670,0100
771106,4533,0100
771106,1413,1600
771106,1004,1500
771106,0,3750
771106,0,2600
771107,3133,0100
771107,1172,1500
771107,533,2600
771107,503,1600
771108,2761,0100
771108,2379,0300
771108,2228,2200
771108,2203,1500
771108,1862,2800
771108,1860,2400
771108,1859,1600
771108,1774,0800
771108,1282,2300
771108,762,3300
771108,478,1900
771108,34,3200
771109,2894,0100
771109,2717,1500
771109,2097,2400
771109,457,2600
771109,277,3600
771112,2046,0100
771113,6766,0100
771113,3774,1500
771113,2015,2400
771113,734,2200
771113,0,2600
771114,1259,0200
771114,136,0260
771115,3211,0100
771115,3166,2800
771115,2689,2300
771115,906,1500
771116,1549,1500
771116,1435,0200
771116,877,0100
771116,147,0260
771119,2610,0100
771119,1958,2500
771119,1808,0103
771119,1707,1600
771119,1300,1500
771119,714,0107
771119,470,2425
771119,381,2300
771119,350,3600
771119,262,2200
771119,0,0200
771123,3273,0103
771123,2339,2200
771123,2283,0107
771123,1835,2800
771123,1420,1600
771123,1162,1500
771123,700,0200
771123,509,1518
771123,96,2600
771123,4,3700
771124,2508,0300
771124,2212,2200
771124,1970,2400
771124,1882,1600
771124,1717,0700
771124,1592,2800
771124,1434,1000
771124,1431,1500
771124,880,0800
771124,859,0500
771124,736,1800
771124,660,0400
771124,318,1900
771124,218,0100
771124,170,1200
771124,160,0200
771124,140,3752
771124,103,3753
771124,0,3600
771125,3396,0300
771125,3070,2800
771125,2870,0100
771125,2471,2100
771125,2417,0300
771125,2270,1500
771125,2149,1500
771125,1293,1800
771125,1268,2400
771125,989,1500
771125,695,1700
771125,584,1500
771125,532,2856
771125,341,3752
771125,319,2800
771125,200,0104
771125,31,2600
771127,5052,1000
771127,1614,1000
771127,911,1300
771128,195,1000
771129,3126,0300
771129,2466,2400
771129,2308,1000
771129,1832,2800
771129,1831,0700
771129,1661,2200
771129,1627,1600
771129,1625,0400
771129,1270,2600
771129,1183,1500
771129,1069,0105
771129,832,1800
771129,697,0100
771129,394,0200
771132,509,0260
771136,10079,0300
771136,2420,2100
771136,929,3600
